cust_no,obs_dt,x1_1,x1_2,x1_3,x1_4,x1_5,x1_6,x1_7,x1_8,x1_9,x1_10,x1_11,x1_12,x1_13,x1_14,x1_15,x1_16,x1_17,x1_18,x1_19,x1_20,x1_21,x1_22,x3_1,x3_2,x3_3,x3_4,x3_5,x3_6,x3_7,x3_8,x3_9,x3_10,x3_11,x3_12,x3_13,x3_14,x3_15,x3_16,x3_17,x3_18,x3_19,x3_20,x3_21,x3_22,x6_1,x6_2,x6_3,x6_4,x6_5,x6_6,x6_7,x6_8,x6_9,x6_10,x6_11,x6_12,x6_13,x6_14,x6_15,x6_16,x6_17,x6_18,x6_19,x6_20,x6_21,x6_22,x9_1,x9_2,x9_3,x9_4,x9_5,x9_6,x9_7,x9_8,x9_9,x9_10,x9_11,x9_12,x9_13,x9_14,x9_15,x9_16,x9_17,x9_18,x9_19,x9_20,x9_21,x9_22,x12_1,x12_2,x12_3,x12_4,x12_5,x12_6,x12_7,x12_8,x12_9,x12_10,x12_11,x12_12,x12_13,x12_14,x12_15,x12_16,x12_17,x12_18,x12_19,x12_20,x12_21,x12_22
3000594807,20200331,2.00 ,4712.50 ,2.00 ,4712.50 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,4712.50 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,14787.50 ,6.00 ,14787.50 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,14787.50 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,12.00 ,28795.00 ,12.00 ,28795.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,12.00 ,28795.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,12.00 ,28795.00 ,12.00 ,28795.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,12.00 ,28795.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,12.00 ,28795.00 ,12.00 ,28795.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,12.00 ,28795.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000566722,20200630,1.00 ,1818.67 ,1.00 ,1818.67 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1818.67 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,5397.34 ,3.00 ,5397.34 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,5397.34 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,10736.01 ,6.00 ,10736.01 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,10736.01 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,8.00 ,13024.01 ,8.00 ,13024.01 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,8.00 ,13024.01 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,8.00 ,13024.01 ,8.00 ,13024.01 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,8.00 ,13024.01 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000552645,20200331,1.00 ,2407.00 ,1.00 ,2407.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,2407.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,7553.00 ,3.00 ,7553.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,7553.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,13612.00 ,6.00 ,13612.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,13612.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,13612.00 ,6.00 ,13612.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,13612.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,13612.00 ,6.00 ,13612.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,13612.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000542752,20191231,2.00 ,9583.34 ,2.00 ,9583.34 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,9583.34 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4.00 ,18208.34 ,4.00 ,18208.34 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4.00 ,18208.34 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4.00 ,18208.34 ,4.00 ,18208.34 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4.00 ,18208.34 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4.00 ,18208.34 ,4.00 ,18208.34 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4.00 ,18208.34 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4.00 ,18208.34 ,4.00 ,18208.34 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4.00 ,18208.34 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000553666,20200630,1.00 ,3358.33 ,1.00 ,3358.33 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,3358.33 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,9966.66 ,3.00 ,9966.66 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,9966.66 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,19824.99 ,6.00 ,19824.99 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,19824.99 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,9.00 ,29683.32 ,9.00 ,29683.32 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,9.00 ,29683.32 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,12.00 ,37808.31 ,12.00 ,37808.31 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,12.00 ,37808.31 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000623161,20200331,1.00 ,7455.18 ,1.00 ,7455.18 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,7455.18 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,23393.84 ,3.00 ,23393.84 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,23393.84 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.00 ,32648.54 ,5.00 ,32648.54 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.00 ,32648.54 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.00 ,32648.54 ,5.00 ,32648.54 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.00 ,32648.54 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.00 ,32648.54 ,5.00 ,32648.54 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.00 ,32648.54 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000563392,20200331,6.00 ,18220.09 ,2.00 ,6041.67 ,0.33 ,0.33 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,6041.67 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,10.00 ,31136.77 ,6.00 ,18958.35 ,0.60 ,0.61 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,18958.35 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,16.00 ,50095.11 ,12.00 ,37916.69 ,0.75 ,0.76 ,0.00 ,0.00 ,0.00 ,0.00 ,12.00 ,37916.69 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,18.00 ,53140.25 ,14.00 ,40961.83 ,0.78 ,0.77 ,0.00 ,0.00 ,0.00 ,0.00 ,14.00 ,40961.83 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,18.00 ,53140.25 ,14.00 ,40961.83 ,0.78 ,0.77 ,0.00 ,0.00 ,0.00 ,0.00 ,14.00 ,40961.83 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000422919,20200630,1.00 ,5381.94 ,1.00 ,5381.94 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,5381.94 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,15972.21 ,3.00 ,15972.21 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,15972.21 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,31770.81 ,6.00 ,31770.81 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,31770.81 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,9.00 ,47569.41 ,9.00 ,47569.41 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,9.00 ,47569.41 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,10.00 ,51562.47 ,10.00 ,51562.47 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,10.00 ,51562.47 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000628609,20200331,1.00 ,4229.17 ,1.00 ,4229.17 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,4229.17 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,12395.83 ,3.00 ,12395.83 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,12395.83 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,12395.83 ,3.00 ,12395.83 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,12395.83 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,12395.83 ,3.00 ,12395.83 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,12395.83 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,12395.83 ,3.00 ,12395.83 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,12395.83 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000561590,20200630,1.00 ,7922.22 ,1.00 ,7922.22 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,7922.22 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,23511.11 ,3.00 ,23511.11 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,23511.11 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,46766.66 ,6.00 ,46766.66 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,46766.66 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,9.00 ,70022.22 ,9.00 ,70022.22 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,9.00 ,70022.22 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,11.00 ,84844.44 ,11.00 ,84844.44 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,11.00 ,84844.44 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000604784,20191231,1.00 ,6250.00 ,1.00 ,6250.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,6250.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,12708.33 ,2.00 ,12708.33 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,12708.33 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,12708.33 ,2.00 ,12708.33 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,12708.33 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,12708.33 ,2.00 ,12708.33 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,12708.33 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,12708.33 ,2.00 ,12708.33 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,12708.33 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000667556,20200630,3.00 ,11326.67 ,2.00 ,6160.00 ,0.67 ,0.54 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,6160.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,7.00 ,23526.67 ,6.00 ,18360.00 ,0.86 ,0.78 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,18360.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,13.00 ,36393.33 ,12.00 ,31226.66 ,0.92 ,0.86 ,0.00 ,0.00 ,0.00 ,0.00 ,12.00 ,31226.66 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,13.00 ,36393.33 ,12.00 ,31226.66 ,0.92 ,0.86 ,0.00 ,0.00 ,0.00 ,0.00 ,12.00 ,31226.66 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,13.00 ,36393.33 ,12.00 ,31226.66 ,0.92 ,0.86 ,0.00 ,0.00 ,0.00 ,0.00 ,12.00 ,31226.66 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000576388,20200331,1.00 ,1997.78 ,1.00 ,1997.78 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1997.78 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,6268.90 ,3.00 ,6268.90 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,6268.90 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,12537.80 ,6.00 ,12537.80 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,12537.80 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,7.00 ,14535.58 ,7.00 ,14535.58 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,7.00 ,14535.58 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,7.00 ,14535.58 ,7.00 ,14535.58 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,7.00 ,14535.58 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000708082,20200630,2.00 ,5216.95 ,1.00 ,2607.78 ,0.50 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,2607.78 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4.00 ,10351.12 ,3.00 ,7741.95 ,0.75 ,0.75 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,7741.95 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.00 ,12286.95 ,4.00 ,9677.78 ,0.80 ,0.79 ,0.00 ,0.00 ,0.00 ,0.00 ,4.00 ,9677.78 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.00 ,12286.95 ,4.00 ,9677.78 ,0.80 ,0.79 ,0.00 ,0.00 ,0.00 ,0.00 ,4.00 ,9677.78 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.00 ,12286.95 ,4.00 ,9677.78 ,0.80 ,0.79 ,0.00 ,0.00 ,0.00 ,0.00 ,4.00 ,9677.78 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000556052,20200630,1.00 ,91.67 ,1.00 ,91.67 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,91.67 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,91.67 ,1.00 ,91.67 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,91.67 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,91.67 ,1.00 ,91.67 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,91.67 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,91.67 ,1.00 ,91.67 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,91.67 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,91.67 ,2.00 ,193091.67 ,2.00 ,2106.38 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,193091.67 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000195242,20191231,1.00 ,6507.50 ,,,,,,,,,,,,,,,,,,,,,3.00 ,19739.42 ,3.00 ,583448.84 ,1.00 ,29.56 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,583448.84 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,38828.09 ,6.00 ,602537.51 ,1.00 ,15.52 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,602537.51 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,38828.09 ,6.00 ,602537.51 ,1.00 ,15.52 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,602537.51 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,38828.09 ,6.00 ,602537.51 ,1.00 ,15.52 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,602537.51 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000619487,20200331,3.00 ,4607.77 ,3.00 ,4607.77 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,4607.77 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,9.00 ,14458.87 ,9.00 ,14458.87 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,9.00 ,14458.87 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,15.00 ,20727.76 ,15.00 ,20727.76 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,15.00 ,20727.76 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,15.00 ,20727.76 ,15.00 ,20727.76 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,15.00 ,20727.76 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,15.00 ,20727.76 ,15.00 ,20727.76 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,15.00 ,20727.76 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000577163,20200331,4.00 ,1956.07 ,2.00 ,966.66 ,0.50 ,0.49 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,966.66 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,10.00 ,5071.01 ,6.00 ,3033.34 ,0.60 ,0.60 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,3033.34 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,16.00 ,7954.35 ,12.00 ,5916.68 ,0.75 ,0.74 ,0.00 ,0.00 ,0.00 ,0.00 ,12.00 ,5916.68 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,17.00 ,8371.02 ,13.00 ,6333.35 ,0.76 ,0.76 ,0.00 ,0.00 ,0.00 ,0.00 ,13.00 ,6333.35 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,17.00 ,8371.02 ,13.00 ,6333.35 ,0.76 ,0.76 ,0.00 ,0.00 ,0.00 ,0.00 ,13.00 ,6333.35 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3000555156,20200630,1.00 ,2252.67 ,1.00 ,2252.67 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,2252.67 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,6685.34 ,3.00 ,6685.34 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,6685.34 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,13298.01 ,6.00 ,13298.01 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.00 ,13298.01 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,9.00 ,19910.68 ,9.00 ,19910.68 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,9.00 ,19910.68 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,12.00 ,24852.02 ,12.00 ,24852.02 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,12.00 ,24852.02 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
